store_name,address,rating,review_count,google_maps_url,place_id
車麗屋汽車百貨 土城店,236台灣新北市土城區中華路一段218號,4.2,2306,https://maps.google.com/?cid=12703669001189061135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJc1y9DC4daDQRD_IDUKZ_TLA
車麗屋汽車百貨林口店,244台灣新北市林口區文化三路一段394巷12號,4.4,2289,https://maps.google.com/?cid=11437033060794662663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJm6q_9yenQjQRB38QCfmAuJ4
車麗屋汽車百貨 新竹店 （汽車保養、維修、改裝）,300台灣新竹市東區中華路一段208號,4.3,2276,https://maps.google.com/?cid=16622145783191990559&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJtSBV0n42aDQRH3Hqm4W5reY
車麗屋汽車百貨 台南中華店,700台灣臺南市中西區中華西路二段76號,4.4,2024,https://maps.google.com/?cid=14579723632256846653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJfVgZEHJ2bjQRPYsJmGWVVco
車麗屋汽車百貨 新莊三重店,242台灣新北市新莊區頭前路1號,4.5,1730,https://maps.google.com/?cid=2217944417398947481&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJiQsGy12pQjQRmf6fSrK4xx4
車麗屋汽車百貨 宜蘭中山店,260台灣宜蘭縣宜蘭市中山路五段327號,4.4,1548,https://maps.google.com/?cid=14038616914490748674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJR9rGmC77ZzQRAu8CNrQv08I
車麗屋汽車百貨 彰化金馬店,500台灣彰化縣彰化市金馬路三段198號,4.3,1528,https://maps.google.com/?cid=14216644213538199482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJyf7MHZ84aTQRupcO1paqS8U
車麗屋汽車百貨 桃園春日店,330台灣桃園市桃園區春日路408號1樓,4.6,1368,https://maps.google.com/?cid=14536769959493315538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJxxqmi3gfaDQR0isrUUL7vMk
車麗屋汽車百貨 高雄國泰店,830台灣高雄市鳳山區國泰路一段148號,4.9,1332,https://maps.google.com/?cid=592211567604455511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJh20sFG0bbjQRV9jwdkj1Nwg
車麗屋汽車百貨-松江店Line:@car550,104台灣臺北市中山區松江路550號,4.5,1240,https://maps.google.com/?cid=16656875553890112948&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJxUeQcn-pQjQRtBWCeRAcKec
車麗屋汽車百貨 彰化員林店,510台灣彰化縣員林市莒光路555號,4.3,1224,https://maps.google.com/?cid=5946337145657262068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJS9NjcVo2aTQR9H-cASGihVI
車麗屋汽車百貨 台中朝馬店,407台灣臺中市西屯區朝馬路67號,4.4,1109,https://maps.google.com/?cid=8148469411456216648&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ-wR2pPY9aTQRSO773MEtFXE
車麗屋汽車百貨 內湖行忠店,114台灣臺北市內湖區行忠路67號,4.5,1080,https://maps.google.com/?cid=4314686809052603761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJuQiKQAqtQjQRceWk6srY4Ds
車麗屋汽車百貨 台中沙鹿店,433台灣臺中市沙鹿區七賢路286號,4.9,713,https://maps.google.com/?cid=13149125358810714429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ2cnsYwAVaTQRPVH-xtgTe7Y
車麗屋汽車百貨 新店中興店,231台灣新北市新店區中興路三段131號,4.2,595,https://maps.google.com/?cid=14929723694315298535&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJvSR1afoBaDQR515lUpkIMc8
車麗屋汽車百貨 承德店(台塑加油站內),112台灣臺北市北投區承德路七段303號,4.5,481,https://maps.google.com/?cid=2229869503608773152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJMdkHYVivQjQRINoTyn8W8h4
車麗屋汽車百貨(仁美店),40679台灣臺中市北屯區環中路一段1058號,4.8,350,https://maps.google.com/?cid=13038932210895497873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJk-VgkXkXaTQRkSrTOMOX87Q
車麗屋汽車百貨 嘉義店,600台灣嘉義市東區興業東路160號,4.2,277,https://maps.google.com/?cid=6603420189384830957&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJebUN8c2VbjQR7e_sAq0PpFs
車麗屋汽車美容 林口中山店,24459台灣新北市林口區文化三路二段300號,4.5,181,https://maps.google.com/?cid=17949108876157651481&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ_-9l1OmmQjQRGQowpmwLGPk
POINTS車麗屋汽車百貨 汐止店,22145台灣新北市汐止區大同路一段154號,4.3,153,https://maps.google.com/?cid=5499561368638361239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJx9nJvvdTXTQRl44mRu1dUkw
車麗屋汽車美容 林口忠孝店,244台灣新北市林口區忠孝路132號,4.3,128,https://maps.google.com/?cid=2648222465635884126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJJwD0BPinQjQRXpxvNk1gwCQ
車麗屋汽車百貨 樹林店,238台灣新北市樹林區保安街一段343號,4.5,107,https://maps.google.com/?cid=16021010160206811792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ27cUjE8daDQRkBINltsPVt4
車麗屋汽車百貨,892伯玉路一段238號,3.9,52,https://maps.google.com/?cid=5123365686660931160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJs_gWnVuiFDQRWJ7Zf_LZGUc
